['0.0000000e+00', ' 2.1398472e+01', '-3.7991027e+00', ' 2.4707781e+01', '-1.9558276e+01', '-2.6100865e+01', '-1.8511861e+01', '-4.9896885e-01', '-1.6954116e+01', '-1.6174434e+01', '-6.7818098e+00', ' 3.3549935e+00', ' 1.8039066e+01', '-1.9683229e+01', '-1.8339842e+01', ' 9.3797252e+00', '-4.5513085e+00', ' 2.7160444e+01', '-9.6700733e+00', ' 3.4231604e+00', ' 1.9441361e+00', '-7.9816084e+00', ' 1.1454542e+01', '-2.2153420e+01', ' 1.9360816e+01', ' 5.0452188e-01', ' 2.5429889e+01', ' 7.5591115e+00', '-1.1047686e+01', ' 2.3360861e+00', ' 1.7711948e+01', ' 1.1516223e+01', ' 3.4472066e+00', '-9.2468938e-01', ' 1.0353789e+01', ' 1.5884841e+01', ' 6.4962815e+00', '-2.1013385e+01', '-5.0142027e+00', '-1.7470591e+01', ' 1.5553976e+00', ' 5.4802618e+00', ' 2.6787195e+01', ' 7.7050907e-01', ' 1.3534013e+01', ' 3.1925250e+00', ' 1.9347849e+01', ' 2.4391411e+01', ' 6.9701473e+00', '-5.4837915e+00', ' 7.2659437e+00', ' 1.6718847e+01', ' 1.3116689e+01', '-2.1007919e+00', ' 7.4734441e-01', ' 5.6625548e+00', ' 3.5760561e+00', '-1.0356454e+01', ' 3.7326893e+00', ' 1.8675322e-01', '-6.4663321e-01', '-2.1895984e+01', ' 1.0036899e+01', ' 1.3557643e+01', ' 1.8314780e+01', ' 1.2107075e+01', '-8.1425216e+00', '-1.4547388e+00', ' 5.3881221e+00', '-2.7493031e+00', '-5.9073307e+00', ' 5.9155658e+00', ' 1.7802799e+00', '-4.1589803e+00', ' 1.2212500e+01', ' 2.5308937e+00', ' 1.8536456e+01', ' 1.1679953e+01', ' 1.4439611e+01', '-2.7713441e+00', ' 2.4502672e+01', ' 2.0349897e+01', ' 8.4990469e+00', '-1.1918071e+00', '-1.4422591e+01', '-9.8385641e+00', '-6.7394479e+00', ' 1.2375461e+01', ' 6.2942815e+00', '-4.5135676e+00', ' 1.2640773e+01', '-6.0483138e+00', ' 1.1128604e+01', ' 1.5745953e+00', ' 7.3302478e+00', ' 1.2455999e+01', ' 1.8949804e+01', '-3.5675527e+00', '-1.6780453e+00', '-1.0862884e-01']
['2.1398472e+01', ' 0.0000000e+00', '-2.1496161e+01', '-2.2885097e+01', ' 2.4449514e+01', ' 2.5612268e+01', ' 3.3424296e+01', ' 3.5059445e+00', ' 9.0672722e+00', ' 3.2891856e+01', '-6.3126081e+00', ' 2.7893085e+01', '-8.9108964e+00', ' 1.5499572e+01', '-1.2552337e+01', ' 5.4908519e+00', '-2.5242485e+00', '-1.3326745e+01', ' 7.3811603e+00', '-1.8884673e+01', '-1.3167962e+01', '-1.9876422e+01', ' 2.3550592e+01', '-2.7321904e+01', '-1.6824187e+01', '-1.6717716e+01', ' 2.9844198e+01', '-2.6162379e+01', '-5.9740509e+00', '-1.0174008e+01', '-9.2666950e+00', ' 1.1899857e+01', '-1.8430171e+01', ' 4.6739894e+00', ' 1.9950837e+00', ' 2.7933448e+00', '-2.2328297e+01', ' 1.1782134e+01', '-3.6212580e+00', '-2.6986657e+01', '-1.1072982e+01', '-5.4578779e+00', ' 2.3009211e+01', '-1.5053561e+01', ' 1.1947357e+00', '-1.6814025e+01', '-1.5852740e+01', ' 3.5692849e+01', '-2.6453764e+01', ' 1.7617930e+01', ' 2.6215953e+01', ' 1.4384752e+01', '-1.3461952e+01', ' 2.7389421e+01', '-2.5053714e+01', ' 1.3181894e+01', '-2.6774905e+01', '-3.4815944e+00', '-2.0729127e+01', ' 7.6477351e+00', '-2.6161313e+01', '-1.0121684e-01', ' 6.9018091e+00', ' 1.1768470e+01', ' 9.8685582e+00', '-2.9823879e-01', '-7.4564528e+00', '-1.9790506e+01', '-2.5388954e+01', ' 1.2883323e+01', '-1.6349324e+01', '-2.5788866e+01', '-2.4101537e+01', ' 6.7995070e-01', '-1.3058479e+01', '-4.5735080e+00', ' 1.5842930e+01', '-1.8128527e+01', '-1.9223405e+01', '-1.0609738e+01', '-1.1373214e+01', ' 1.0807620e+01', ' 7.0473514e+00', ' 2.2150091e+01', '-1.6146120e+01', ' 6.6610522e+00', ' 1.1400591e+01', '-3.9485775e-01', '-2.3054717e+00', '-2.4138580e+01', ' 2.2833763e+00', '-1.0453906e+01', ' 1.2493739e+01', '-5.8821030e+00', '-9.4615751e+00', '-1.8511644e+01', '-1.2290010e+00', '-2.6862591e+00', '-2.5637663e+01', ' 2.2010650e+01']
['-3.7991027e+00', '-2.1496161e+01', ' 0.0000000e+00', '-1.1775667e+01', ' 2.5977986e+01', ' 2.8622776e+01', '-2.3667918e+01', ' 2.6557326e+01', '-2.2182816e+01', '-2.0371737e+01', ' 3.0773219e+01', ' 2.1556704e+01', ' 1.7717735e+01', '-1.2150432e+01', '-2.1809935e+01', ' 1.8303727e+00', '-2.0280401e+01', ' 4.4580763e+00', '-1.7333292e+01', ' 1.5965884e+01', '-7.9931775e+00', ' 1.5484455e+01', '-2.0220622e+01', '-1.0100807e+01', ' 6.9727435e-01', ' 3.2627503e+01', ' 1.3773623e+01', '-4.7697268e+00', '-2.0800287e+01', ' 1.1682647e+01', '-1.1946655e+00', '-1.3704508e+00', '-3.0323015e+01', '-1.4788168e+01', ' 3.5270875e+00', ' 7.1740557e+00', ' 2.1565184e+01', '-3.9387512e+00', ' 6.4430204e+00', '-2.4320336e+01', '-2.8337749e+01', ' 2.8655733e+01', '-8.4360519e+00', '-2.9554343e+01', '-2.0492533e+01', '-1.1654637e+01', ' 1.5499446e+01', ' 1.5550445e+01', '-1.7589377e+01', '-3.0072249e+01', '-2.2866624e+01', ' 1.8197799e+01', '-2.9421845e+01', ' 2.0181019e+01', ' 2.9025645e+01', '-1.2882757e+01', '-4.8523107e-01', ' 2.8664638e+00', ' 2.3916453e+01', ' 2.1118730e+01', ' 2.6362365e+01', ' 2.7362736e+01', ' 2.5556692e+01', ' 1.3772399e+01', ' 2.0519651e+01', ' 2.4788685e+01', ' 1.5402085e+01', ' 2.1778692e+01', '-2.1992330e+01', ' 7.8943570e+00', ' 2.0311320e+01', '-3.2610131e+01', ' 2.5996244e+01', '-1.3681008e+00', ' 2.0420615e+01', ' 9.3380713e+00', '-2.1187146e+01', '-2.1275771e+01', ' 2.1077287e+01', ' 3.0414863e+00', ' 2.5753103e+01', '-1.7405301e+01', '-2.2510311e+01', '-3.2500123e+01', '-2.2950697e+01', '-2.0856968e+01', '-3.2311643e+01', '-1.9839757e+01', '-2.8287943e+01', '-5.7563720e+00', ' 2.2690559e+01', ' 8.5944657e+00', ' 1.0587947e+01', '-2.2664456e+01', '-1.1916368e+01', ' 1.2070691e+01', ' 1.3778190e+01', ' 6.7421902e+00', '-2.7514496e+01', ' 1.1961797e+01']
['2.4707781e+01', '-2.2885097e+01', '-1.1775667e+01', ' 0.0000000e+00', ' 1.4445087e+01', ' 3.6676927e+00', '-2.4139791e+01', ' 2.4116653e+00', ' 1.6086990e+01', ' 2.4255203e+01', ' 4.0649980e+00', ' 1.8366565e+01', ' 7.1611316e+00', ' 9.1076003e-01', ' 1.6139857e+01', ' 8.1731680e+00', '-2.2354323e+01', ' 3.1449871e+01', '-1.8295282e+01', ' 4.7645683e+00', ' 2.2017603e+00', ' 9.7117891e+00', ' 2.2888077e+00', ' 3.0095335e+01', ' 2.3815770e+01', '-2.6390418e+00', '-1.3062605e+01', '-1.6432474e+01', ' 1.2610763e+01', ' 7.7416605e+00', ' 2.4392627e+01', '-2.0936824e+01', '-1.5053454e+01', '-2.1235248e+01', ' 1.1810743e+01', ' 3.0080522e+01', '-1.4673621e+01', ' 5.7246701e+00', ' 7.5404936e+00', ' 1.7000576e+01', '-7.0593256e+00', '-1.8017047e+01', '-3.0668009e+01', ' 2.4633177e+01', '-1.7667495e+01', ' 1.8770613e+01', '-1.6115502e+01', '-2.3887389e+01', '-9.2330519e+00', ' 5.5392821e-01', '-1.8499848e+01', '-2.3860696e+01', '-3.4022750e+00', '-7.6254486e+00', ' 1.2625647e+01', '-2.0052871e+01', ' 5.8208628e+00', '-2.2571743e+01', '-1.5920784e+01', '-1.7869443e+01', '-1.1519680e+01', ' 1.4036054e+01', ' 1.1521204e+01', '-8.8660157e+00', ' 9.1573308e+00', '-2.3578489e+01', '-8.6338737e-01', '-1.4432053e+01', '-1.4739610e+01', ' 1.4653365e+01', '-3.7077106e+00', ' 2.6464691e+00', '-1.6300609e+01', '-5.3998424e-01', '-1.6178020e+01', ' 1.5190329e+01', '-1.6955389e+01', ' 2.1143904e+01', ' 4.2631588e+00', '-1.0869581e+00', ' 1.6842790e+01', ' 2.0268697e+01', '-2.5593111e+00', '-1.6614414e+01', '-1.2316365e+01', '-1.2729057e+01', '-2.4918864e+01', ' 2.0056392e+00', ' 4.3146719e+00', ' 1.0293751e+01', '-1.1588024e+01', '-1.4943089e+01', '-2.8307385e+01', '-1.5341535e+01', ' 1.7693335e+01', ' 1.2290783e+01', '-2.0641577e+01', ' 2.2035286e+00', '-5.2608979e+00', '-1.7841651e+01']
['-1.9558276e+01', ' 2.4449514e+01', ' 2.5977986e+01', ' 1.4445087e+01', ' 0.0000000e+00', ' 3.2261913e+01', ' 2.0906544e+01', '-2.2092879e+01', ' 1.3162452e+01', '-7.2608629e+00', ' 9.9223027e+00', ' 2.1236654e+01', ' 3.2527425e+01', ' 1.3229753e+01', ' 3.0496292e+01', ' 2.7181518e+01', ' 1.6482402e+00', ' 1.9320074e+01', '-6.5852812e+00', '-3.8972849e+00', '-3.0909892e+01', '-4.8840760e+00', '-3.7952743e+00', '-2.1866115e+01', '-7.9442370e+00', '-2.2728736e+01', '-2.4795926e+01', '-3.4639266e-01', ' 2.5551941e+01', '-1.4877429e+01', ' 1.4910853e+01', '-1.4485568e+01', ' 2.1471735e+01', ' 1.0069644e+01', '-1.1324970e+01', '-5.6176559e+00', ' 4.5233339e+00', ' 2.9858374e+01', ' 6.5030216e+00', ' 1.4377094e+01', '-1.0770609e+01', '-1.8420991e+01', '-8.2588734e+00', '-1.8647631e+01', ' 1.8231412e+01', '-1.3825808e+01', '-2.1789544e+01', '-2.4459177e+01', '-5.2584439e+00', ' 2.1637717e+01', ' 2.9638795e+01', '-4.4658163e+00', ' 5.2674886e+00', '-1.9851847e+01', '-1.3863198e+00', ' 2.8478627e+01', '-1.5599141e+01', '-1.4222281e+01', '-3.3422171e+00', ' 1.1426422e+01', ' 1.9659578e+01', ' 1.7920368e+01', '-1.7517455e+01', '-1.1840687e+01', ' 1.6456989e+01', ' 7.4589123e+00', ' 2.2606251e+01', '-8.8218051e+00', '-1.7791993e+00', '-1.7065576e+01', '-7.1786803e+00', '-1.3934592e+00', ' 2.4741885e+01', '-6.2580347e+00', ' 1.8542795e+00', '-7.7418151e-01', '-6.6373490e+00', ' 2.2611559e+01', ' 3.9819280e+00', ' 5.0799045e+00', ' 5.5752912e+00', ' 1.4217365e+01', '-2.6746527e+01', ' 2.4380612e+01', ' 1.0522474e+01', ' 8.7601936e+00', '-3.1493682e+00', '-1.8052809e+01', '-5.2548327e+00', ' 1.0865560e+01', '-6.4918098e+00', ' 1.3519187e+01', '-1.6301605e+01', ' 7.6605086e+00', ' 1.5285016e+01', '-1.8462441e+01', ' 1.8618248e+01', '-1.3127778e+00', '-2.1250007e+00', '-3.7879172e+00']
['-2.6100865e+01', ' 2.5612268e+01', ' 2.8622776e+01', ' 3.6676927e+00', ' 3.2261913e+01', ' 0.0000000e+00', ' 2.3424365e+01', '-2.6658009e+01', ' 2.0036028e+01', ' 1.3294475e+01', ' 1.9653525e+01', ' 1.2585726e+01', '-1.6352655e+01', ' 1.3677604e+01', ' 1.1005592e+01', '-9.7189264e+00', ' 2.0153086e+01', ' 1.7644318e+01', '-4.5146919e+00', ' 1.8231126e+01', ' 8.2263739e+00', ' 1.1154393e+01', '-7.1421752e+00', ' 2.3794424e+01', ' 7.4886553e+00', '-8.5669371e+00', '-2.3122702e+01', '-2.5979258e+00', ' 2.1735319e+00', ' 5.5925270e+00', ' 1.6631265e+01', ' 1.3709051e+01', '-1.5142762e+01', ' 1.5824590e+01', ' 3.3886027e+00', '-1.5089351e+01', '-1.0080087e+01', ' 1.5977572e+01', ' 8.2696024e+00', ' 1.4815858e+01', ' 9.6428646e+00', ' 1.0973953e+01', '-2.5519381e+01', '-1.6321230e+01', '-8.2210773e+00', ' 1.1284063e+01', ' 4.0683340e+00', '-1.4546673e+01', ' 2.0584466e+01', ' 5.0742783e-01', '-2.7058910e+01', ' 2.2820121e+01', '-1.2709294e+01', '-1.0423644e+01', '-3.3715604e+00', '-1.9658354e+01', '-6.5430423e+00', '-2.0862951e+00', ' 6.5241317e+00', '-4.0487780e-01', ' 2.0397170e+01', ' 6.9903914e+00', '-5.6139767e+00', '-2.5092047e+01', '-2.0483249e+01', '-1.7871247e+01', ' 1.7879577e+01', ' 7.3490901e+00', ' 2.5327330e+01', '-2.6656858e+00', ' 1.0378709e+01', '-9.3001692e+00', ' 2.1700489e+01', ' 8.1508767e-01', ' 2.6056871e+01', '-2.1978344e+01', '-9.0705405e+00', ' 6.6328157e+00', '-1.0701339e+01', ' 1.7838808e+01', ' 7.5463706e+00', '-6.2079164e+00', '-1.9630792e+01', ' 1.0780376e+01', ' 1.8109070e+01', '-2.0469348e+01', ' 7.6843268e+00', '-8.1446863e+00', ' 1.0694032e+01', ' 2.5018636e+01', ' 1.6872906e+01', ' 2.7390480e+01', ' 1.5247820e+01', ' 2.3168377e+01', '-1.8803898e+01', '-4.7201849e+00', ' 1.6141259e+01', '-4.1488504e+00', ' 2.1003244e+01', '-1.7083605e+01']
['-1.8511861e+01', ' 3.3424296e+01', '-2.3667918e+01', '-2.4139791e+01', ' 2.0906544e+01', ' 2.3424365e+01', ' 0.0000000e+00', '-3.4648732e+00', ' 3.2888270e+01', ' 2.1976440e+01', '-1.3098212e+01', ' 2.3668618e+01', ' 2.9387024e+01', ' 3.4151072e+01', '-1.3858551e-01', ' 2.6647905e+01', ' 2.0245750e+01', '-1.6009234e+00', ' 1.6427877e+00', ' 4.9961963e+00', ' 2.0062631e+01', ' 4.0519377e+00', '-8.8642897e+00', ' 1.8147373e+01', ' 1.6512937e+01', '-1.6353867e+01', '-6.4587077e+00', '-7.0675217e+00', '-8.7642615e+00', ' 5.1295787e+00', '-5.5015041e+00', ' 1.2473394e+01', '-1.2241705e+01', ' 1.8113201e+00', ' 2.0930779e+01', '-2.1074187e+01', ' 5.1369456e-01', ' 1.9440529e+01', ' 2.8444141e+00', '-6.7001326e+00', ' 2.1419230e+00', ' 3.8882282e+00', '-1.2900264e+01', '-1.7601372e+01', ' 3.6254500e+00', '-1.7469637e+00', '-1.1228798e+01', ' 2.8651545e+01', ' 6.4414757e+00', '-1.3157512e+01', '-2.1924036e+01', ' 9.4624761e+00', '-1.4802150e+01', '-1.6156600e+01', ' 1.3383812e+01', '-1.7067768e+01', '-2.1982251e-01', ' 3.4955226e+00', '-5.1733492e+00', '-1.8272981e+01', ' 1.3908675e+01', ' 5.6813720e+00', ' 5.0540808e+00', '-1.3940720e+01', '-2.5327916e+01', '-2.3222548e+01', '-1.0884766e+01', ' 8.9141348e+00', '-3.6386381e+00', '-1.2745573e+01', ' 8.0431644e-01', '-2.8508037e+01', '-1.4484540e+01', '-2.6092462e+00', '-1.3899282e+01', ' 1.4396904e+00', '-4.1416247e+00', ' 1.5538415e+00', ' 7.8486806e+00', ' 1.4483792e+01', ' 4.5106720e+00', '-8.8784612e+00', '-3.6591430e+00', '-4.3152212e-02', '-2.2453767e+01', '-6.3597101e+00', '-1.7845392e+01', ' 1.1675505e+01', ' 1.1206534e+01', '-1.2788922e+01', ' 2.5219257e+01', '-7.8269889e+00', '-3.5252609e+00', '-6.0085715e+00', '-1.8902622e+01', ' 5.9963655e+00', '-5.5977715e+00', '-3.7742112e+00', '-2.2335601e+01', ' 1.0414212e+01']
['-4.9896885e-01', ' 3.5059445e+00', ' 2.6557326e+01', ' 2.4116653e+00', '-2.2092879e+01', '-2.6658009e+01', '-3.4648732e+00', ' 0.0000000e+00', ' 1.0433554e+01', ' 2.4761896e+01', '-1.3304486e+00', ' 4.9425157e+00', '-1.0479939e+01', ' 2.0543946e+01', '-1.6493098e+01', '-1.2333528e+01', ' 1.2092270e+01', '-1.9752827e+00', ' 8.6724400e-01', '-2.1261796e+01', '-3.8285935e+00', '-3.1840566e+01', '-2.3962022e+01', ' 1.5151183e+01', ' 4.7228249e+00', ' 4.7171981e+00', ' 3.1421430e+01', '-2.0432137e+01', '-8.4801427e+00', ' 1.2503483e+01', '-5.8459791e+00', '-1.9935818e+01', ' 1.1651135e+01', '-2.5450567e+01', ' 1.9050152e+01', ' 9.8379467e+00', ' 9.5078227e-01', ' 2.0166984e+01', ' 1.5421314e+01', ' 2.5574561e+00', '-1.3032102e+01', '-1.3911428e+01', ' 1.3832314e+01', '-4.2536952e+00', ' 2.4498497e+01', ' 1.5623562e+01', ' 2.0046250e+01', '-7.1264934e-01', '-1.1796461e+01', ' 2.7295131e+01', '-8.1286319e+00', '-1.5961182e+01', '-3.3285926e+00', '-1.3754640e+01', '-7.8539391e+00', ' 2.1816277e+01', '-1.5123503e+01', ' 1.6629180e+01', '-1.9780286e+00', ' 7.4808732e+00', '-1.9588177e+01', ' 1.0403488e+01', ' 7.4991728e-01', ' 1.3505755e+00', ' 7.7037888e+00', '-3.6593633e+00', ' 2.1837107e+01', ' 6.9858084e+00', '-1.7463018e+01', '-1.8005277e+01', ' 3.6244479e+00', '-1.5210824e+01', ' 7.7715799e+00', '-7.5096570e+00', ' 8.6023735e-01', ' 9.6434198e+00', '-2.1163326e+01', '-1.9361494e+01', '-1.2157265e+01', '-1.1639954e+01', '-3.8688539e+00', '-1.0088762e+00', ' 3.5733713e+00', '-1.2027357e+01', '-2.3516698e+01', '-2.6848802e+01', '-1.1421804e+01', '-1.4307965e+01', '-2.3996386e+01', ' 1.1964725e+01', ' 2.1836226e+01', ' 1.9760977e+01', ' 2.4452255e+01', '-2.4248417e+00', '-1.4990395e+01', '-1.4165287e+01', ' 6.2177843e+00', '-1.2210756e+00', '-6.7107685e+00', '-1.8081590e+00']
['-1.6954116e+01', ' 9.0672722e+00', '-2.2182816e+01', ' 1.6086990e+01', ' 1.3162452e+01', ' 2.0036028e+01', ' 3.2888270e+01', ' 1.0433554e+01', ' 0.0000000e+00', ' 2.6677228e+01', '-4.4945139e+00', ' 2.3078809e+01', ' 2.0845457e+01', ' 1.3056104e+01', '-1.6567611e+01', ' 6.1585246e+00', '-2.3116667e+01', ' 3.5264601e+00', '-2.5507735e+01', ' 8.0840295e+00', ' 1.7302109e+01', ' 1.4905563e+01', ' 2.0344485e+01', '-9.2001264e+00', ' 5.5990932e+00', ' 1.4151896e+01', ' 1.7996116e+01', ' 2.0933529e-02', '-1.5026520e+01', '-1.2485960e+01', ' 2.1380895e+01', '-1.5644879e+01', ' 6.9673845e-02', '-4.7163305e+00', '-5.2323876e+00', ' 1.7503601e+01', '-1.7953573e+01', ' 1.9321353e+01', ' 2.4371356e+01', '-7.2999139e+00', '-1.1677158e+01', '-9.2229148e+00', ' 2.8385376e+01', ' 1.9806996e+01', '-4.3573270e+00', ' 9.1393944e+00', '-2.3994177e+01', '-2.7592450e-01', '-8.2084123e+00', '-9.6766665e+00', ' 7.9630150e+00', '-5.2971737e+00', ' 2.3863113e+01', ' 5.4223242e+00', '-2.6005674e+01', '-1.9533628e+01', '-9.5358578e+00', '-4.9141176e+00', '-1.0471547e+01', '-3.1280708e+00', '-2.4602691e+01', '-4.8622747e+00', ' 1.0065643e+01', ' 1.3239480e+01', ' 4.3532760e+00', ' 2.0268175e+01', ' 1.0509907e+01', '-1.9434674e+01', ' 5.0044598e+00', '-2.2379797e+01', ' 5.1772384e-01', '-2.6574834e+00', ' 1.0978375e+01', '-7.0133520e+00', ' 4.8488118e-01', '-2.0563966e+00', ' 1.1714873e+01', '-1.7878751e+01', '-1.3933826e+01', '-1.5705210e+01', '-1.2155788e+01', ' 2.4263105e-02', ' 1.7576998e+01', '-1.7305998e+01', '-1.3800974e+01', '-2.0072790e+01', '-3.1232862e+00', '-4.7049146e+00', '-1.2337939e+01', '-5.1374095e+00', ' 1.3431677e+01', '-1.9651702e+01', ' 5.9770528e+00', '-4.9006759e-01', ' 8.4347249e+00', '-9.6997668e-01', ' 6.1755332e+00', ' 6.2850894e+00', '-2.4730953e+01', ' 1.2274624e+01']
['-1.6174434e+01', ' 3.2891856e+01', '-2.0371737e+01', ' 2.4255203e+01', '-7.2608629e+00', ' 1.3294475e+01', ' 2.1976440e+01', ' 2.4761896e+01', ' 2.6677228e+01', ' 0.0000000e+00', '-1.6608824e+01', '-2.4423707e+01', ' 1.8392209e+01', ' 2.7510240e+01', '-2.8090467e+00', '-1.4721749e+01', '-2.1296931e+01', '-2.1852342e+01', '-2.1306447e+01', '-6.3860649e-01', '-1.4665792e+01', '-2.5198587e+00', '-1.5657880e+01', ' 2.3775850e+01', '-1.5802859e+01', '-2.6445223e+01', ' 6.4280369e+00', '-2.7990192e+01', ' 2.0123798e+01', ' 6.2699812e+00', '-1.9139987e+01', ' 1.7154234e+01', ' 2.8500929e+01', '-4.1081471e+00', '-1.8448098e+01', '-4.6396286e-01', ' 1.5711897e+01', '-5.0095746e+00', ' 2.2607741e+01', '-6.7080118e+00', ' 2.4154119e+00', '-8.3340897e+00', '-1.8203221e+01', ' 6.2622820e+00', ' 6.0203772e-01', ' 2.3090240e+01', '-2.0252206e+01', ' 1.2934587e+01', ' 1.3511704e+01', ' 8.4493302e+00', ' 3.3921768e+00', ' 9.6652806e-01', ' 1.0142821e+00', '-1.5814973e+01', ' 2.8610564e+01', '-2.8253695e+01', ' 3.3065607e+01', '-6.1793517e+00', ' 1.0568417e+01', '-7.1557758e+00', '-1.8336594e+01', '-2.2157132e+01', '-6.9865318e+00', '-4.9521337e+00', '-2.8333477e+01', '-2.6098005e+01', '-1.4449262e+01', ' 1.9884945e+01', '-6.6181538e-01', '-6.0320664e+00', ' 4.3486459e+00', '-5.6992647e+00', '-1.2276531e+01', '-1.4840510e+01', '-2.4783336e+01', ' 5.4493332e+00', '-2.8093739e+01', ' 2.8765126e+00', '-6.4628307e+00', ' 1.1091852e+01', '-1.6443950e+01', ' 1.7651532e+01', ' 9.2307814e+00', '-3.3476686e+01', '-2.5540227e+01', '-7.8923373e+00', '-2.4675606e+01', ' 2.3730093e+01', '-1.4605697e+01', '-5.2736102e+00', '-1.8869134e+00', '-2.4510051e+01', '-5.0529545e+00', '-6.7538858e+00', '-1.9982023e+01', '-1.1528207e+01', '-2.8699890e+01', '-1.8599133e+01', '-7.6469303e+00', '-2.4022676e+01']
['-6.7818098e+00', '-6.3126081e+00', ' 3.0773219e+01', ' 4.0649980e+00', ' 9.9223027e+00', ' 1.9653525e+01', '-1.3098212e+01', '-1.3304486e+00', '-4.4945139e+00', '-1.6608824e+01', ' 0.0000000e+00', ' 2.0772464e+01', '-2.0850055e+01', '-1.8050428e+01', ' 1.1562686e+01', ' 1.3989565e+01', ' 1.2763805e+01', ' 8.9642115e-01', '-6.7533887e-01', ' 9.6444761e+00', '-3.1600826e+01', '-1.4741838e+01', ' 2.2482813e+01', '-1.6524979e+01', ' 2.5094660e+00', ' 1.9879001e+01', '-3.9259957e+00', '-1.3908558e+01', ' 2.7552378e+01', '-1.1335053e+01', ' 1.8940186e+00', ' 2.7411601e+01', '-4.1574232e+00', '-9.1224133e+00', '-9.3485679e+00', '-1.9174938e+01', '-2.6182809e+00', '-2.2543391e+01', ' 1.5813600e+01', ' 2.8153721e+01', '-1.8272313e+01', '-1.9572399e+01', ' 1.5866597e+01', ' 2.7714345e+01', '-6.0975032e+00', '-4.3150717e+00', '-2.4609869e+01', ' 2.5104651e+01', '-1.7512388e+01', ' 6.2759320e+00', ' 1.0517728e+01', ' 1.2293023e+01', ' 1.2258447e+00', ' 1.7083335e+01', ' 1.7687692e+01', ' 2.2197277e+01', ' 2.4265455e+01', ' 2.0669745e+01', ' 1.3240629e+01', ' 2.7510962e+01', ' 2.6384649e+01', ' 7.2323437e-01', '-8.8013645e+00', ' 6.4940091e+00', ' 2.1777856e+00', ' 1.0763581e+01', ' 1.5199879e+01', ' 1.1707202e+01', ' 1.1635106e+00', '-3.9272691e+00', '-1.9357933e+01', '-1.8407921e+00', ' 2.8140110e+01', '-4.1232718e+00', ' 2.8558223e+01', '-1.6254114e+01', '-1.6465198e+01', ' 8.4728200e+00', '-1.7874202e+01', '-1.6149933e+01', '-9.2200648e+00', ' 1.2798039e+01', '-2.3213163e+01', '-4.3017648e+00', ' 1.1431487e+01', ' 2.0259131e+00', ' 1.2064768e+01', ' 2.1180039e+00', ' 7.0770816e+00', '-2.2062350e+01', ' 6.0981888e+00', ' 2.2182759e+01', '-1.9841959e+01', '-9.8806376e+00', '-1.9581860e+01', ' 1.3719481e+01', '-6.2050948e+00', '-1.0099898e+01', '-7.4278839e+00', ' 1.7776113e+00']
