['0.0000000e+00', '-2.4640414e+01', '-2.2030976e+01', '-1.9510388e+01', ' 1.8649014e+01', ' 2.1203944e+01', ' 1.3700366e+01', '-4.2758080e+00', '-2.0418123e+01', '-2.1096571e+01', ' 2.4289226e+00', ' 1.3073669e+01', ' 2.0202992e+01', '-1.0985094e+01', '-1.5342172e+01', ' 1.4258494e+01', '-2.3354194e+01', ' 1.6342908e+01', ' 2.1026177e+01', '-2.5830642e+01', '-1.1718194e+01', ' 1.4745395e+01', '-1.6029560e+01', '-2.6063784e+01', '-2.6226003e+00', ' 3.9510372e+00', ' 2.3072328e+01', ' 1.1529731e+01', ' 1.9255641e+01', ' 1.1757206e+01', ' 2.0871262e+01', '-1.5949339e+01', '-1.6140329e+01', '-1.5378682e+01', ' 1.9163095e+01', ' 2.1181032e+01', '-1.1696700e+01', '-1.2575394e+01', ' 1.9677634e+01', '-1.2664680e+01', ' 2.5111780e+01', ' 2.0436443e+01', ' 1.5171390e+01', ' 9.1874551e+00', ' 6.4693881e+00', ' 8.3270238e+00', ' 1.2783642e+01', ' 1.7693443e+01', ' 8.2788714e+00', ' 1.7612711e+01']
['-2.4640414e+01', ' 0.0000000e+00', ' 3.2710782e+01', ' 2.9765538e+01', ' 2.5828019e+01', '-3.1360153e+01', '-3.2396355e+01', '-1.3101412e+01', ' 2.9712958e+01', ' 3.5192471e+01', ' 3.1940685e+01', '-5.3025569e+00', '-3.2403784e+01', '-8.7546650e+00', ' 2.0611903e+01', '-6.7691890e+00', ' 3.1417047e+01', '-1.2897052e+01', ' 2.3464287e+00', ' 1.5751293e+01', ' 1.2150864e+01', '-1.8082063e+01', ' 2.0829438e+01', ' 2.3285807e+01', ' 8.4466805e+00', '-1.2718630e+01', ' 1.6695222e+01', ' 2.5604251e+01', '-5.5500295e+00', '-1.2289526e+01', ' 1.5299882e+01', ' 1.6673608e+01', ' 1.7065147e+01', ' 1.2448272e+01', '-3.1596780e+01', '-2.8275011e+01', ' 1.3104168e+01', '-4.2794495e+00', '-3.0461487e+01', ' 2.2654227e+01', '-2.8282629e+01', '-2.8028156e+01', '-1.7213684e+01', '-1.6113206e+01', '-2.2590900e+01', '-5.4784560e+00', '-1.7166537e+01', '-3.2607991e+01', '-1.8050172e+01', '-1.1732433e+01']
['-2.2030976e+01', ' 3.2710782e+01', ' 0.0000000e+00', ' 2.9806775e+01', ' 2.2164027e+01', '-2.5139625e+01', '-2.3135482e+01', '-8.9449509e+00', ' 1.8523947e+01', ' 3.2864797e+01', ' 2.5960725e+01', '-2.1266537e+01', '-2.0216684e+01', '-7.6438246e+00', ' 1.4971282e+01', '-1.7265688e+01', ' 1.4030331e+01', '-9.7927930e+00', '-5.3476261e+00', ' 7.0526940e+00', ' 7.1413881e+00', '-2.2170374e+01', ' 2.4651962e+01', ' 1.5021891e+01', ' 5.4455562e+00', '-3.6591130e+00', ' 2.2360463e+01', ' 2.3205027e+01', '-2.3875518e+01', '-1.0499378e+01', ' 2.1299100e+01', ' 2.0010632e+01', ' 1.9117380e+01', ' 9.2602351e+00', '-2.4167191e+01', '-2.4500031e+01', ' 1.5839508e+01', ' 6.9722417e-01', '-1.8455015e+01', ' 1.6166299e+01', '-2.0450257e+01', '-2.0204981e+01', '-5.0759027e+00', '-1.3036943e+01', '-1.2150794e+01', ' 1.9369357e+00', '-2.0394894e+01', '-1.5400161e+01', '-1.0827743e+01', '-1.6183037e+01']
['-1.9510388e+01', ' 2.9765538e+01', ' 2.9806775e+01', ' 0.0000000e+00', ' 3.5958894e+01', '-3.3026898e+01', '-2.4245437e+01', ' 5.2134860e+00', ' 1.8477058e+01', ' 3.0272943e+01', ' 2.1916937e+01', '-2.9050736e+01', '-2.2489534e+01', ' 4.2804285e+00', ' 5.1352665e+00', '-2.0385954e+01', ' 2.8204018e+01', '-2.6202624e+01', '-2.0554356e+01', ' 2.7957052e+01', ' 2.9715017e+01', '-2.2810764e+01', ' 2.7296927e+01', ' 2.0898301e+01', '-4.1226161e+00', ' 4.9522513e-02', ' 2.7999078e+01', ' 2.9013196e+01', '-3.1462108e+01', ' 8.5114841e-02', ' 2.3022991e+01', ' 1.7519156e+01', ' 1.5355563e+01', ' 1.0211020e+01', '-2.9001476e+01', '-2.4997224e+01', ' 1.1569620e+01', ' 7.6329759e+00', '-2.0693771e+01', ' 6.7083344e+00', '-2.5885076e+01', '-1.6470746e+01', '-1.9642974e+01', '-6.5319586e+00', '-1.3102336e+01', ' 1.2932305e+01', '-1.8389332e+01', '-1.9787564e+01', '-1.0574964e+01', '-2.5195285e+01']
['1.8649014e+01', ' 2.5828019e+01', ' 2.2164027e+01', ' 3.5958894e+01', ' 0.0000000e+00', '-2.0992861e+01', '-2.8001650e+01', '-5.6674548e+00', ' 1.2982535e+01', ' 2.5204602e+01', ' 2.7643405e+01', '-2.6918194e+01', '-8.7911549e+00', '-1.7786210e+01', ' 5.9377847e+00', '-1.1330587e+01', ' 2.4559610e+01', '-1.4761825e+00', '-1.1162495e+01', ' 1.4091109e+01', ' 2.0410962e+01', '-1.0288671e+01', ' 2.4823343e+01', ' 3.4477000e+00', ' 4.1415527e+00', '-4.8105220e+00', ' 3.2278693e+01', ' 3.2634928e+01', '-1.7624529e+01', ' 2.8707103e+00', ' 2.8828444e+01', ' 6.0137557e+00', ' 8.5785407e+00', ' 6.8601875e+00', '-2.4459626e+01', '-2.0326054e+01', ' 8.5148767e+00', ' 4.6385091e+00', '-1.3652624e+01', ' 1.1598065e+01', '-1.6090900e+01', '-1.4777154e+01', ' 1.6344187e-01', '-1.0496543e+01', '-1.9137735e+01', ' 6.9435840e+00', '-6.6801131e+00', '-2.0688264e+01', '-1.3388331e+01', '-3.5976772e+00']
['2.1203944e+01', '-3.1360153e+01', '-2.5139625e+01', '-3.3026898e+01', '-2.0992861e+01', ' 0.0000000e+00', ' 2.7820697e+01', ' 1.7487992e+01', '-3.4233652e+01', '-2.0329695e+01', '-1.9115284e+01', ' 2.8932236e+01', ' 2.8136617e+01', '-2.8418344e+01', '-1.2219772e+01', ' 2.8463239e+01', '-2.8665947e+01', ' 2.6346060e+01', ' 2.3700241e+01', '-2.8823495e+01', '-2.6433688e+01', ' 1.7691235e+01', '-2.0059080e+01', '-3.1712896e+01', '-1.0707344e+01', ' 7.1815521e+00', '-1.4629569e+01', '-2.2066211e+01', ' 2.6480285e+01', ' 6.2832583e+00', '-1.4742090e+01', '-1.3866527e+01', '-1.5240826e+01', '-2.9356865e+01', ' 3.5626563e+01', ' 2.1088655e+01', '-1.6216218e+01', ' 3.0898813e-01', ' 2.7393657e+01', '-1.7057183e+01', ' 3.0401149e+01', ' 2.1169254e+01', ' 1.3154564e+01', '-7.4402043e+00', ' 4.1933818e+00', '-1.5721172e+01', '-3.7342456e+00', ' 3.4163229e+01', ' 2.3505205e+00', ' 2.3104289e+01']
['1.3700366e+01', '-3.2396355e+01', '-2.3135482e+01', '-2.4245437e+01', '-2.8001650e+01', ' 2.7820697e+01', ' 0.0000000e+00', ' 1.3783828e+01', '-3.4496343e+01', '-1.7131714e+01', '-2.5359923e+01', ' 2.4474590e+01', ' 2.9933247e+01', ' 1.0595730e+01', '-6.0454300e+00', ' 2.1727160e+01', '-2.7430375e+01', ' 1.0419399e+01', '-3.9343630e-01', '-1.2625714e+01', ' 1.4483507e+01', ' 3.0167240e+01', '-1.5466275e+01', '-2.7244393e+01', '-1.1294014e+01', ' 2.1425024e+01', '-1.8511963e+01', '-2.3337584e+01', ' 7.8724688e+00', '-9.5107703e+00', '-1.6193737e+01', '-9.9498640e+00', ' 1.1932565e+00', ' 2.0198323e+00', ' 2.9720414e+01', ' 3.0770424e+01', '-8.8377074e+00', '-2.0689717e+01', ' 1.9735550e+01', '-1.9487784e+01', ' 2.4425309e+01', ' 2.6701398e+01', ' 1.1009978e+01', '-1.1538366e+01', ' 1.8083858e+01', '-2.1754293e+01', '-9.6888107e+00', ' 2.7267163e+01', ' 9.1593877e+00', '-3.5022732e+00']
['-4.2758080e+00', '-1.3101412e+01', '-8.9449509e+00', ' 5.2134860e+00', '-5.6674548e+00', ' 1.7487992e+01', ' 1.3783828e+01', ' 0.0000000e+00', '-4.4563622e+00', '-2.6094898e+01', '-1.6888223e+00', '-1.3914991e+01', '-2.8745054e+01', ' 3.0867440e+01', '-2.7197579e+01', '-2.3615042e+01', ' 2.0682644e+01', '-8.3793872e+00', ' 2.2039686e+01', ' 1.5185492e+01', ' 3.0421951e+01', ' 3.4819609e+01', '-2.3130013e+01', ' 1.8668543e+01', ' 3.4377831e+01', '-3.4689669e+01', ' 2.6683064e+00', ' 6.1548594e+00', '-3.0392054e+01', ' 3.0842966e+01', '-6.0046568e+00', '-2.8004943e+01', '-2.6211650e+01', '-4.2784086e+00', ' 2.7301972e+01', ' 1.7203367e+01', '-2.8738559e+01', ' 1.1174222e+01', '-2.1519076e+01', '-1.2886091e+01', '-1.0868425e+01', ' 2.7189889e+00', ' 1.6862127e+01', '-1.0115214e-01', ' 9.2076269e+00', ' 1.7134684e+01', ' 1.3859072e+01', ' 1.5005762e+01', ' 6.3198119e+00', '-3.9779079e+00']
['-2.0418123e+01', ' 2.9712958e+01', ' 1.8523947e+01', ' 1.8477058e+01', ' 1.2982535e+01', '-3.4233652e+01', '-3.4496343e+01', '-4.4563622e+00', ' 0.0000000e+00', ' 1.0352852e+01', ' 1.3362350e+01', '-3.0794743e+01', '-3.4403458e+01', ' 2.3445634e+01', ' 2.5303671e+01', '-3.2499825e+01', ' 1.6758060e+01', '-1.8116677e+01', '-8.4786187e+00', ' 2.8041187e+01', ' 2.6930963e+00', '-1.9357362e+01', ' 8.0471850e+00', ' 2.9157701e+01', ' 2.5794972e+01', '-2.6521629e+01', ' 3.3296441e+00', ' 1.7417114e+01', '-1.8223518e+01', '-7.1983333e+00', ' 4.0042674e+00', ' 2.4072501e+01', ' 1.9217958e+01', ' 2.4999267e+01', '-3.4491766e+01', '-3.3661151e+01', ' 1.9139989e+01', ' 9.5516050e+00', '-3.1288531e+01', ' 3.0023210e+01', '-2.9696715e+01', '-2.6789977e+01', '-3.7073011e+00', ' 7.2496372e+00', '-1.2574666e+01', ' 1.5433417e+01', ' 6.3631015e+00', '-3.3090054e+01', '-1.4781044e+01', '-1.8887986e+01']
['-2.1096571e+01', ' 3.5192471e+01', ' 3.2864797e+01', ' 3.0272943e+01', ' 2.5204602e+01', '-2.0329695e+01', '-1.7131714e+01', '-2.6094898e+01', ' 1.0352852e+01', ' 0.0000000e+00', ' 2.5053256e+01', ' 1.5044008e+01', '-1.5548181e+01', '-2.4632950e+01', ' 1.7803706e+01', ' 1.2309285e+01', ' 2.5274442e+01', '-1.3085357e+01', '-8.0949283e+00', ' 1.0420920e+01', ' 1.5517802e+01', '-2.2879928e+01', ' 2.8972341e+01', ' 9.3532502e+00', '-2.1057131e+01', ' 2.0506829e+01', ' 1.8292276e+01', ' 2.2899794e+01', '-5.1828533e-01', '-2.4120239e+01', ' 1.5445075e+01', ' 2.1766004e+01', ' 2.1839538e+01', '-2.7550173e-01', '-2.4994176e+01', '-2.4528933e+01', ' 1.9950154e+01', ' 3.2019371e+00', '-2.0442943e+01', ' 2.2876292e+01', '-2.3339619e+01', '-2.2255900e+01', '-2.4004297e+01', '-1.6075459e+01', '-2.2662294e+01', '-1.7572893e+01', '-2.5231193e+01', '-1.9010296e+01', '-1.6268185e+01', '-1.8323490e+01']
['2.4289226e+00', ' 3.1940685e+01', ' 2.5960725e+01', ' 2.1916937e+01', ' 2.7643405e+01', '-1.9115284e+01', '-2.5359923e+01', '-1.6888223e+00', ' 1.3362350e+01', ' 2.5053256e+01', ' 0.0000000e+00', '-3.7114122e+00', '-2.0710324e+01', '-6.4373314e+00', ' 4.4721540e+00', ' 6.9886173e+00', ' 2.0538103e+01', '-9.9044816e-01', ' 1.7846178e+01', '-8.5594406e+00', ' 7.2748858e+00', ' 1.3887700e+01', '-8.1197303e+00', ' 5.4174064e+00', ' 1.3412797e+01', '-2.5993802e+01', ' 2.6697289e+01', ' 2.8605211e+01', ' 1.1212673e+01', ' 4.7380696e+00', ' 2.5429941e+01', '-4.1064832e+00', '-4.5980389e+00', '-1.9193529e+00', '-2.4036116e+01', '-8.9454188e+00', '-4.7263987e+00', '-2.1735900e+01', '-2.3004415e+01', ' 3.4837455e+00', '-6.0667281e+00', '-1.9430234e+01', ' 3.0889835e+00', '-8.0768217e+00', '-2.0175126e+01', '-5.6016030e-01', ' 2.7419805e+00', '-3.0344792e+01', '-1.7350419e+01', ' 1.0728224e+01']
